comission_eur,amount_eur,card_brand_group,traffic_type_group,transaction_comission,country,order_id,created_date,manager_id,merchant_name,gate_id,merchant_id,company_id,company_name,white_label_id,processor_name,processor_id,transaction_type,transaction_status,agent_fee,card_type,tax_reserve_cost,monthly_fee,item_id,records
35.21,3200.74,Visa,Online,0.62,FR,ORD-000001,2024-10-06 02:37:00,MGR-008,Merchant_28,GATE-09,MERCH-028,COMP-01,Company_A,WL-05,Stripe,PROC-05,refund,processing,11.16,virtual,353.59,0.0,ITEM-0029,8
125.03,2950.44,Visa,ATM,0.11,UK,ORD-000002,2024-03-20 06:48:00,MGR-012,Merchant_22,GATE-06,MERCH-022,COMP-02,Company_B,WL-05,PayPal,PROC-01,capture,processing,40.29,credit,308.97,0.0,ITEM-0049,2
119.37,2764.68,Discover,Mobile,1.28,BE,ORD-000003,2024-04-26 09:05:00,MGR-012,Merchant_15,GATE-03,MERCH-015,COMP-02,Company_B,WL-03,PayPal,PROC-02,authorization,completed,43.09,debit,239.43,4.58,ITEM-0069,4
20.78,825.38,Discover,Mobile,1.98,UK,ORD-000004,2024-01-29 07:52:00,MGR-007,Merchant_3,GATE-10,MERCH-003,COMP-06,Company_F,WL-03,Adyen,PROC-04,capture,cancelled,32.0,debit,68.95,0.0,ITEM-0034,3
40.27,1240.67,Visa,Online,0.6,DE,ORD-000005,2024-04-22 04:32:00,MGR-006,Merchant_32,GATE-07,MERCH-032,COMP-02,Company_B,WL-05,Stripe,PROC-04,capture,processing,29.23,virtual,167.09,0.0,ITEM-0068,5
215.74,4855.68,Discover,POS,0.12,BE,ORD-000006,2024-05-16 20:21:00,MGR-001,Merchant_8,GATE-05,MERCH-008,COMP-05,Company_E,WL-05,Adyen,PROC-05,purchase,failed,36.04,debit,496.53,0.0,ITEM-0020,6
120.46,3814.93,Mastercard,Online,1.58,FR,ORD-000007,2024-01-10 03:59:00,MGR-019,Merchant_24,GATE-02,MERCH-024,COMP-05,Company_E,WL-01,Square,PROC-01,void,pending,26.52,debit,0.33,0.0,ITEM-0085,8
78.62,4734.77,Discover,Recurring,1.1,BE,ORD-000008,2024-04-12 22:19:00,MGR-004,Merchant_26,GATE-04,MERCH-026,COMP-06,Company_F,WL-02,Stripe,PROC-03,purchase,processing,30.33,debit,684.91,75.53,ITEM-0076,4
1.76,45.88,Mastercard,Recurring,0.21,DE,ORD-000009,2024-09-20 07:17:00,MGR-019,Merchant_43,GATE-10,MERCH-043,COMP-08,Company_H,WL-04,Adyen,PROC-04,capture,pending,3.37,credit,0.22,0.0,ITEM-0013,7
47.02,1777.94,Mastercard,POS,1.74,FR,ORD-000010,2024-02-01 12:46:00,MGR-018,Merchant_22,GATE-08,MERCH-022,COMP-02,Company_B,WL-02,Square,PROC-02,authorization,cancelled,2.71,debit,174.27,0.0,ITEM-0010,8
178.81,4042.03,Discover,POS,0.29,NL,ORD-000011,2024-02-17 07:10:00,MGR-002,Merchant_27,GATE-03,MERCH-027,COMP-08,Company_H,WL-04,Stripe,PROC-04,authorization,cancelled,32.61,prepaid,327.76,0.0,ITEM-0055,9
97.62,3312.74,UnionPay,Recurring,0.46,DE,ORD-000012,2024-06-09 01:03:00,MGR-002,Merchant_38,GATE-09,MERCH-038,COMP-08,Company_H,WL-01,Adyen,PROC-01,void,completed,10.89,debit,29.06,6.1,ITEM-0052,2
154.38,4708.56,Amex,POS,1.2,ES,ORD-000013,2024-10-16 16:20:00,MGR-013,Merchant_17,GATE-03,MERCH-017,COMP-04,Company_D,WL-03,Square,PROC-03,purchase,completed,1.99,virtual,57.9,0.0,ITEM-0080,10
64.4,4980.52,Amex,Recurring,0.5,CA,ORD-000014,2024-07-08 09:10:00,MGR-001,Merchant_29,GATE-09,MERCH-029,COMP-09,Company_I,WL-03,Stripe,PROC-02,authorization,completed,13.26,credit,697.22,87.93,ITEM-0096,9
16.71,785.69,Amex,Online,0.5,US,ORD-000015,2024-05-08 01:05:00,MGR-011,Merchant_41,GATE-03,MERCH-041,COMP-07,Company_G,WL-03,Adyen,PROC-04,void,cancelled,17.14,credit,81.02,50.54,ITEM-0015,2
177.88,4725.8,Visa,Mobile,0.38,FR,ORD-000016,2024-08-08 04:02:00,MGR-008,Merchant_20,GATE-02,MERCH-020,COMP-06,Company_F,WL-03,Braintree,PROC-04,void,pending,1.8,debit,261.73,0.0,ITEM-0021,3
48.45,4408.27,Discover,Online,1.5,BE,ORD-000017,2024-05-07 08:10:00,MGR-008,Merchant_45,GATE-04,MERCH-045,COMP-02,Company_B,WL-04,PayPal,PROC-03,refund,pending,16.61,credit,615.49,86.41,ITEM-0085,4
42.25,1998.35,Mastercard,Recurring,0.23,ES,ORD-000018,2024-10-01 10:01:00,MGR-002,Merchant_8,GATE-02,MERCH-008,COMP-05,Company_E,WL-05,Square,PROC-03,authorization,cancelled,38.67,credit,105.26,0.0,ITEM-0050,10
11.29,958.49,UnionPay,Mobile,0.93,UK,ORD-000019,2024-04-10 11:27:00,MGR-010,Merchant_5,GATE-09,MERCH-005,COMP-06,Company_F,WL-03,Square,PROC-03,capture,failed,26.0,debit,115.95,0.0,ITEM-0025,7
83.75,3328.0,UnionPay,Recurring,1.52,IT,ORD-000020,2024-01-01 09:18:00,MGR-015,Merchant_14,GATE-08,MERCH-014,COMP-07,Company_G,WL-04,Adyen,PROC-05,capture,pending,8.7,credit,284.1,0.0,ITEM-0037,9
115.53,3322.63,Discover,Recurring,0.28,UK,ORD-000021,2024-04-11 04:01:00,MGR-015,Merchant_3,GATE-07,MERCH-003,COMP-04,Company_D,WL-05,Adyen,PROC-04,capture,cancelled,47.6,debit,117.06,0.0,ITEM-0019,1
198.3,4464.37,Discover,POS,1.78,BE,ORD-000022,2024-08-25 01:35:00,MGR-017,Merchant_16,GATE-09,MERCH-016,COMP-02,Company_B,WL-05,PayPal,PROC-04,void,processing,38.92,virtual,146.55,69.59,ITEM-0071,8
178.34,4487.07,Discover,Online,1.0,ES,ORD-000023,2024-09-23 15:40:00,MGR-008,Merchant_16,GATE-05,MERCH-016,COMP-05,Company_E,WL-03,PayPal,PROC-05,purchase,pending,12.96,debit,166.41,0.0,ITEM-0030,7
132.86,3472.81,Visa,Recurring,0.22,NL,ORD-000024,2024-04-15 13:24:00,MGR-016,Merchant_50,GATE-01,MERCH-050,COMP-10,Company_J,WL-03,PayPal,PROC-04,capture,processing,20.38,debit,282.66,0.0,ITEM-0063,4
40.37,1371.95,UnionPay,Recurring,0.84,US,ORD-000025,2024-03-06 19:34:00,MGR-003,Merchant_2,GATE-07,MERCH-002,COMP-07,Company_G,WL-02,Square,PROC-02,purchase,failed,33.44,virtual,164.25,84.05,ITEM-0042,4
53.56,2278.95,Visa,Mobile,1.77,FR,ORD-000026,2024-02-11 15:01:00,MGR-003,Merchant_48,GATE-01,MERCH-048,COMP-09,Company_I,WL-01,Adyen,PROC-02,purchase,processing,13.91,debit,325.16,0.0,ITEM-0031,3
34.59,2373.07,Visa,Mobile,1.9,AU,ORD-000027,2024-02-28 05:19:00,MGR-013,Merchant_7,GATE-07,MERCH-007,COMP-10,Company_J,WL-02,Stripe,PROC-05,refund,completed,23.25,prepaid,91.21,0.0,ITEM-0088,10
168.63,4029.58,Discover,ATM,1.18,UK,ORD-000028,2024-02-05 16:41:00,MGR-014,Merchant_22,GATE-06,MERCH-022,COMP-01,Company_A,WL-04,Adyen,PROC-04,refund,processing,2.05,prepaid,322.01,0.0,ITEM-0079,9
110.82,3875.46,Discover,Recurring,1.67,AU,ORD-000029,2024-02-14 08:56:00,MGR-013,Merchant_29,GATE-06,MERCH-029,COMP-04,Company_D,WL-01,Square,PROC-03,refund,cancelled,29.62,debit,187.36,0.0,ITEM-0046,5
77.24,1708.29,Discover,ATM,1.43,BE,ORD-000030,2024-07-27 15:35:00,MGR-001,Merchant_49,GATE-02,MERCH-049,COMP-04,Company_D,WL-03,Adyen,PROC-04,refund,failed,13.81,prepaid,2.6,8.56,ITEM-0061,9
71.85,2659.3,Amex,Online,1.52,CA,ORD-000031,2024-05-08 07:07:00,MGR-006,Merchant_47,GATE-04,MERCH-047,COMP-04,Company_D,WL-02,Square,PROC-03,void,processing,16.54,prepaid,280.37,0.0,ITEM-0013,4
36.37,1488.27,Discover,Online,0.67,US,ORD-000032,2024-01-28 17:18:00,MGR-019,Merchant_45,GATE-05,MERCH-045,COMP-03,Company_C,WL-04,Square,PROC-04,authorization,pending,35.4,credit,28.26,0.0,ITEM-0033,8
7.31,579.29,UnionPay,ATM,1.03,AU,ORD-000033,2024-10-15 09:05:00,MGR-020,Merchant_16,GATE-10,MERCH-016,COMP-02,Company_B,WL-02,Braintree,PROC-04,capture,cancelled,28.85,prepaid,59.65,0.0,ITEM-0076,7
53.44,1533.85,Mastercard,POS,1.26,CA,ORD-000034,2024-04-18 08:42:00,MGR-003,Merchant_6,GATE-03,MERCH-006,COMP-03,Company_C,WL-01,Square,PROC-04,void,cancelled,37.0,prepaid,218.02,0.0,ITEM-0005,4
30.85,1447.64,Mastercard,Mobile,1.73,DE,ORD-000035,2024-04-11 13:07:00,MGR-003,Merchant_35,GATE-01,MERCH-035,COMP-04,Company_D,WL-02,PayPal,PROC-05,void,failed,3.56,virtual,50.69,0.0,ITEM-0016,8
130.93,3446.5,Amex,Online,1.89,UK,ORD-000036,2024-01-21 13:47:00,MGR-008,Merchant_21,GATE-10,MERCH-021,COMP-10,Company_J,WL-05,Stripe,PROC-03,void,completed,25.02,debit,255.28,0.0,ITEM-0061,9
152.1,3261.03,Amex,Online,0.44,DE,ORD-000037,2024-02-16 15:22:00,MGR-011,Merchant_27,GATE-07,MERCH-027,COMP-06,Company_F,WL-04,PayPal,PROC-04,void,completed,29.27,virtual,310.51,0.0,ITEM-0012,6
18.58,1269.47,UnionPay,Mobile,1.57,AU,ORD-000038,2024-10-04 14:26:00,MGR-016,Merchant_4,GATE-08,MERCH-004,COMP-04,Company_D,WL-01,Adyen,PROC-03,void,pending,43.25,prepaid,157.08,0.0,ITEM-0057,8
30.13,615.92,Discover,Online,1.26,DE,ORD-000039,2024-10-09 13:05:00,MGR-016,Merchant_15,GATE-05,MERCH-015,COMP-02,Company_B,WL-05,PayPal,PROC-04,capture,cancelled,11.96,debit,14.63,0.0,ITEM-0059,9
12.9,731.76,Visa,Mobile,1.24,ES,ORD-000040,2024-07-31 10:59:00,MGR-019,Merchant_33,GATE-10,MERCH-033,COMP-05,Company_E,WL-04,Adyen,PROC-04,void,cancelled,37.31,prepaid,14.98,0.0,ITEM-0043,9
95.76,3816.73,Visa,Mobile,1.87,BE,ORD-000041,2024-07-15 07:54:00,MGR-013,Merchant_50,GATE-07,MERCH-050,COMP-07,Company_G,WL-02,Square,PROC-01,refund,processing,43.48,prepaid,561.5,0.0,ITEM-0013,8
23.56,507.56,Visa,Mobile,0.13,CA,ORD-000042,2024-05-15 10:39:00,MGR-013,Merchant_45,GATE-06,MERCH-045,COMP-07,Company_G,WL-04,Braintree,PROC-01,void,completed,7.21,debit,66.31,7.48,ITEM-0081,5
198.84,4987.16,Amex,Mobile,0.92,IT,ORD-000043,2024-06-02 00:02:00,MGR-014,Merchant_21,GATE-03,MERCH-021,COMP-01,Company_A,WL-02,Braintree,PROC-04,void,pending,4.92,debit,474.09,44.37,ITEM-0023,2
77.2,3051.36,Discover,Mobile,1.4,CA,ORD-000044,2024-05-10 14:16:00,MGR-006,Merchant_43,GATE-02,MERCH-043,COMP-01,Company_A,WL-04,PayPal,PROC-05,authorization,cancelled,24.88,prepaid,266.91,0.0,ITEM-0059,5
25.49,1004.09,Amex,Online,1.02,AU,ORD-000045,2024-05-31 00:53:00,MGR-002,Merchant_43,GATE-10,MERCH-043,COMP-07,Company_G,WL-04,PayPal,PROC-02,void,failed,11.86,debit,86.14,0.0,ITEM-0082,4
115.35,3108.25,UnionPay,Mobile,1.47,DE,ORD-000046,2024-01-21 09:50:00,MGR-003,Merchant_29,GATE-05,MERCH-029,COMP-01,Company_A,WL-03,Square,PROC-02,refund,pending,32.96,prepaid,390.86,0.0,ITEM-0068,9
197.44,4568.3,Mastercard,ATM,0.59,CA,ORD-000047,2024-06-22 03:29:00,MGR-012,Merchant_5,GATE-02,MERCH-005,COMP-03,Company_C,WL-04,Stripe,PROC-03,void,completed,41.23,virtual,330.18,74.66,ITEM-0048,5
125.56,2926.95,Visa,ATM,1.89,ES,ORD-000048,2024-10-14 10:58:00,MGR-014,Merchant_40,GATE-02,MERCH-040,COMP-04,Company_D,WL-02,Stripe,PROC-01,authorization,cancelled,5.42,credit,102.66,0.0,ITEM-0013,4
68.45,4437.42,UnionPay,ATM,0.96,ES,ORD-000049,2024-03-20 13:41:00,MGR-002,Merchant_7,GATE-06,MERCH-007,COMP-08,Company_H,WL-02,Square,PROC-04,refund,failed,33.52,credit,494.64,41.91,ITEM-0088,6
133.93,2726.88,Visa,Online,0.78,IT,ORD-000050,2024-08-20 02:42:00,MGR-008,Merchant_14,GATE-03,MERCH-014,COMP-10,Company_J,WL-05,Adyen,PROC-01,void,pending,19.91,debit,77.64,0.0,ITEM-0030,6
160.95,3874.1,Visa,Mobile,1.23,FR,ORD-000051,2024-03-30 03:42:00,MGR-019,Merchant_2,GATE-06,MERCH-002,COMP-03,Company_C,WL-01,Adyen,PROC-03,purchase,pending,13.86,virtual,571.83,54.02,ITEM-0068,2
108.38,3730.87,Amex,ATM,1.58,US,ORD-000052,2024-01-23 23:50:00,MGR-002,Merchant_43,GATE-08,MERCH-043,COMP-09,Company_I,WL-04,Square,PROC-01,capture,cancelled,25.66,credit,61.03,0.0,ITEM-0011,6
38.46,3045.4,Discover,Online,0.62,UK,ORD-000053,2024-09-28 09:29:00,MGR-018,Merchant_33,GATE-04,MERCH-033,COMP-10,Company_J,WL-04,Square,PROC-02,capture,failed,31.65,virtual,250.49,0.0,ITEM-0052,7
82.15,3650.77,Discover,Online,0.69,IT,ORD-000054,2024-08-30 02:05:00,MGR-005,Merchant_6,GATE-09,MERCH-006,COMP-02,Company_B,WL-01,Braintree,PROC-05,void,failed,12.74,credit,522.2,0.0,ITEM-0053,6
208.18,4369.3,Mastercard,POS,0.9,BE,ORD-000055,2024-06-08 11:06:00,MGR-008,Merchant_37,GATE-02,MERCH-037,COMP-09,Company_I,WL-03,Braintree,PROC-03,purchase,failed,45.79,debit,33.72,0.0,ITEM-0055,9
208.26,4872.99,Amex,Mobile,1.27,US,ORD-000056,2024-05-16 00:11:00,MGR-006,Merchant_18,GATE-03,MERCH-018,COMP-05,Company_E,WL-05,Square,PROC-01,refund,completed,32.13,credit,19.19,82.95,ITEM-0096,9
29.03,1083.51,Visa,Online,0.75,ES,ORD-000057,2024-02-13 01:09:00,MGR-015,Merchant_11,GATE-07,MERCH-011,COMP-10,Company_J,WL-04,Braintree,PROC-04,capture,failed,18.5,debit,117.28,56.76,ITEM-0097,9
15.72,577.95,Visa,POS,0.64,ES,ORD-000058,2024-01-24 07:25:00,MGR-007,Merchant_39,GATE-03,MERCH-039,COMP-01,Company_A,WL-03,PayPal,PROC-03,purchase,completed,33.92,virtual,42.19,0.0,ITEM-0096,7
22.35,886.72,Amex,Recurring,1.44,NL,ORD-000059,2024-01-22 13:01:00,MGR-019,Merchant_30,GATE-07,MERCH-030,COMP-02,Company_B,WL-04,PayPal,PROC-01,capture,completed,25.01,prepaid,110.84,7.21,ITEM-0022,10
86.67,2305.88,Amex,POS,0.79,IT,ORD-000060,2024-07-24 16:05:00,MGR-006,Merchant_26,GATE-02,MERCH-026,COMP-05,Company_E,WL-05,Stripe,PROC-05,void,pending,21.84,prepaid,36.62,0.0,ITEM-0045,3
18.85,1188.98,UnionPay,ATM,0.47,AU,ORD-000061,2024-03-31 20:31:00,MGR-020,Merchant_30,GATE-06,MERCH-030,COMP-10,Company_J,WL-03,Adyen,PROC-04,purchase,cancelled,30.12,virtual,135.58,0.0,ITEM-0081,5
134.08,3983.69,UnionPay,Recurring,0.77,CA,ORD-000062,2024-07-07 09:04:00,MGR-013,Merchant_42,GATE-08,MERCH-042,COMP-02,Company_B,WL-05,Braintree,PROC-01,capture,processing,3.71,debit,275.92,0.0,ITEM-0042,10
38.22,2383.39,Mastercard,ATM,0.22,BE,ORD-000063,2024-02-13 16:41:00,MGR-017,Merchant_12,GATE-09,MERCH-012,COMP-01,Company_A,WL-05,Adyen,PROC-03,authorization,failed,5.18,virtual,321.45,0.0,ITEM-0053,6
41.09,3397.7,Mastercard,Mobile,1.3,UK,ORD-000064,2024-07-16 09:16:00,MGR-019,Merchant_47,GATE-03,MERCH-047,COMP-10,Company_J,WL-03,PayPal,PROC-04,refund,processing,16.73,credit,168.03,0.0,ITEM-0040,9
78.73,1889.63,UnionPay,Mobile,1.65,US,ORD-000065,2024-09-26 02:41:00,MGR-012,Merchant_43,GATE-05,MERCH-043,COMP-07,Company_G,WL-02,Adyen,PROC-03,capture,pending,33.51,debit,234.96,68.54,ITEM-0018,3
17.29,395.05,Mastercard,POS,0.29,DE,ORD-000066,2024-06-21 19:08:00,MGR-020,Merchant_39,GATE-03,MERCH-039,COMP-07,Company_G,WL-04,Stripe,PROC-04,authorization,pending,38.54,virtual,49.49,3.77,ITEM-0079,5
155.67,3764.43,Discover,Mobile,0.54,NL,ORD-000067,2024-04-09 11:43:00,MGR-017,Merchant_37,GATE-09,MERCH-037,COMP-08,Company_H,WL-04,Adyen,PROC-02,void,pending,11.96,prepaid,545.24,90.4,ITEM-0007,8
140.69,4371.84,Discover,Online,0.29,FR,ORD-000068,2024-03-23 08:28:00,MGR-015,Merchant_33,GATE-06,MERCH-033,COMP-03,Company_C,WL-01,Square,PROC-01,capture,processing,42.29,prepaid,558.17,0.0,ITEM-0031,7
124.3,4972.68,Mastercard,ATM,0.15,BE,ORD-000069,2024-03-15 04:02:00,MGR-020,Merchant_19,GATE-01,MERCH-019,COMP-08,Company_H,WL-01,Stripe,PROC-03,refund,pending,46.54,virtual,625.94,0.0,ITEM-0015,5
17.79,1195.82,UnionPay,POS,0.55,DE,ORD-000070,2024-09-12 19:34:00,MGR-010,Merchant_2,GATE-07,MERCH-002,COMP-09,Company_I,WL-01,Braintree,PROC-03,refund,processing,31.95,virtual,111.72,0.0,ITEM-0024,2
64.04,2622.19,Discover,Mobile,1.91,ES,ORD-000071,2024-01-11 12:55:00,MGR-001,Merchant_31,GATE-06,MERCH-031,COMP-01,Company_A,WL-01,PayPal,PROC-02,purchase,processing,27.2,prepaid,309.32,0.0,ITEM-0018,1
41.62,1767.97,Visa,Mobile,1.32,FR,ORD-000072,2024-04-03 04:04:00,MGR-002,Merchant_46,GATE-04,MERCH-046,COMP-08,Company_H,WL-01,PayPal,PROC-03,void,cancelled,41.52,virtual,181.57,47.85,ITEM-0033,1
66.5,3768.92,Discover,Mobile,0.78,DE,ORD-000073,2024-03-04 11:27:00,MGR-016,Merchant_26,GATE-08,MERCH-026,COMP-08,Company_H,WL-03,Braintree,PROC-03,purchase,cancelled,39.04,credit,489.47,0.0,ITEM-0056,10
85.67,4975.54,Discover,Mobile,0.66,BE,ORD-000074,2024-08-16 19:45:00,MGR-002,Merchant_28,GATE-06,MERCH-028,COMP-03,Company_C,WL-05,Square,PROC-03,purchase,completed,5.13,virtual,244.74,0.0,ITEM-0047,9
148.98,4007.47,Amex,ATM,1.91,AU,ORD-000075,2024-02-04 07:49:00,MGR-002,Merchant_42,GATE-10,MERCH-042,COMP-06,Company_F,WL-02,Square,PROC-03,authorization,cancelled,7.14,credit,365.22,3.48,ITEM-0074,3
68.74,2652.0,Discover,POS,1.33,AU,ORD-000076,2024-07-17 17:07:00,MGR-010,Merchant_17,GATE-08,MERCH-017,COMP-05,Company_E,WL-02,Stripe,PROC-02,purchase,cancelled,12.48,debit,45.13,49.9,ITEM-0092,8
211.52,4986.34,Amex,Recurring,1.94,FR,ORD-000077,2024-05-28 09:54:00,MGR-004,Merchant_11,GATE-04,MERCH-011,COMP-03,Company_C,WL-02,Adyen,PROC-04,purchase,failed,49.33,prepaid,499.51,55.0,ITEM-0060,9
29.83,657.56,Mastercard,Mobile,0.22,UK,ORD-000078,2024-07-29 13:52:00,MGR-015,Merchant_37,GATE-08,MERCH-037,COMP-02,Company_B,WL-05,PayPal,PROC-02,void,processing,19.91,debit,70.71,0.0,ITEM-0099,3
100.69,2168.77,Amex,Online,0.21,ES,ORD-000079,2024-06-14 22:14:00,MGR-007,Merchant_23,GATE-09,MERCH-023,COMP-09,Company_I,WL-03,Adyen,PROC-03,void,processing,6.21,credit,49.78,0.0,ITEM-0065,3
98.45,2963.12,Visa,Recurring,0.43,ES,ORD-000080,2024-10-15 01:52:00,MGR-007,Merchant_2,GATE-10,MERCH-002,COMP-02,Company_B,WL-04,Braintree,PROC-01,capture,processing,31.22,prepaid,400.91,0.0,ITEM-0083,5
102.09,2419.89,Amex,Recurring,1.4,DE,ORD-000081,2024-08-13 13:30:00,MGR-011,Merchant_30,GATE-06,MERCH-030,COMP-04,Company_D,WL-03,Square,PROC-02,authorization,processing,14.87,credit,26.49,0.0,ITEM-0041,4
48.39,2337.7,UnionPay,Mobile,0.57,FR,ORD-000082,2024-08-02 07:55:00,MGR-006,Merchant_11,GATE-08,MERCH-011,COMP-06,Company_F,WL-05,Square,PROC-04,authorization,cancelled,4.84,credit,101.76,0.0,ITEM-0012,7
123.23,2532.17,Discover,POS,0.51,ES,ORD-000083,2024-08-28 09:34:00,MGR-012,Merchant_1,GATE-07,MERCH-001,COMP-02,Company_B,WL-03,Stripe,PROC-04,purchase,processing,17.64,debit,19.2,0.0,ITEM-0047,9
36.91,1450.12,Amex,Recurring,0.96,IT,ORD-000084,2024-03-01 04:06:00,MGR-005,Merchant_26,GATE-04,MERCH-026,COMP-06,Company_F,WL-05,Braintree,PROC-04,void,completed,27.49,credit,179.52,0.0,ITEM-0005,3
150.54,3570.82,UnionPay,Mobile,1.09,CA,ORD-000085,2024-06-12 05:25:00,MGR-017,Merchant_40,GATE-09,MERCH-040,COMP-05,Company_E,WL-04,Braintree,PROC-03,capture,completed,7.45,prepaid,478.38,0.0,ITEM-0043,2
163.4,4899.69,UnionPay,POS,1.61,US,ORD-000086,2024-08-30 08:41:00,MGR-019,Merchant_50,GATE-08,MERCH-050,COMP-10,Company_J,WL-02,Braintree,PROC-05,capture,pending,36.27,debit,505.68,0.0,ITEM-0005,10
68.26,4741.54,Visa,POS,0.14,CA,ORD-000087,2024-07-29 16:49:00,MGR-007,Merchant_40,GATE-09,MERCH-040,COMP-08,Company_H,WL-03,Square,PROC-05,capture,failed,15.68,debit,107.7,0.0,ITEM-0059,9
41.53,1718.21,Amex,POS,1.57,ES,ORD-000088,2024-09-04 06:15:00,MGR-010,Merchant_18,GATE-04,MERCH-018,COMP-09,Company_I,WL-04,PayPal,PROC-04,authorization,processing,36.05,prepaid,165.8,0.0,ITEM-0037,2
91.11,2871.65,Discover,Mobile,1.8,BE,ORD-000089,2024-01-22 09:45:00,MGR-007,Merchant_6,GATE-04,MERCH-006,COMP-06,Company_F,WL-05,PayPal,PROC-05,authorization,pending,19.73,credit,148.67,14.65,ITEM-0079,10
14.49,1204.02,Visa,Recurring,1.82,DE,ORD-000090,2024-06-18 22:30:00,MGR-014,Merchant_7,GATE-08,MERCH-007,COMP-03,Company_C,WL-04,Adyen,PROC-03,authorization,failed,11.28,credit,42.05,0.0,ITEM-0099,2
62.98,3264.97,Mastercard,Mobile,1.5,US,ORD-000091,2024-03-31 01:53:00,MGR-001,Merchant_26,GATE-05,MERCH-026,COMP-08,Company_H,WL-05,Braintree,PROC-01,authorization,failed,42.52,virtual,18.27,41.79,ITEM-0083,9
119.68,2626.35,Visa,Mobile,0.35,ES,ORD-000092,2024-08-22 20:16:00,MGR-019,Merchant_46,GATE-04,MERCH-046,COMP-03,Company_C,WL-02,Braintree,PROC-04,capture,processing,25.21,prepaid,107.48,33.07,ITEM-0012,7
58.25,3349.59,Amex,Recurring,0.37,AU,ORD-000093,2024-04-30 14:48:00,MGR-001,Merchant_18,GATE-05,MERCH-018,COMP-06,Company_F,WL-03,Adyen,PROC-01,purchase,cancelled,16.18,prepaid,124.63,0.0,ITEM-0021,7
161.11,3433.51,Mastercard,ATM,1.79,DE,ORD-000094,2024-05-31 11:39:00,MGR-015,Merchant_15,GATE-10,MERCH-015,COMP-04,Company_D,WL-03,Square,PROC-05,capture,processing,38.49,debit,355.52,0.0,ITEM-0098,4
115.2,3404.91,Mastercard,Recurring,1.6,CA,ORD-000095,2024-10-15 03:03:00,MGR-005,Merchant_36,GATE-03,MERCH-036,COMP-09,Company_I,WL-03,Braintree,PROC-04,purchase,pending,26.28,virtual,269.76,0.0,ITEM-0012,9
27.3,2232.96,Visa,POS,0.35,AU,ORD-000096,2024-06-06 23:01:00,MGR-003,Merchant_26,GATE-01,MERCH-026,COMP-05,Company_E,WL-04,PayPal,PROC-01,void,completed,20.77,credit,188.88,0.0,ITEM-0061,1
24.81,1442.58,Visa,Recurring,0.36,DE,ORD-000097,2024-07-14 14:55:00,MGR-012,Merchant_25,GATE-02,MERCH-025,COMP-07,Company_G,WL-02,Braintree,PROC-04,void,pending,32.08,debit,157.81,37.45,ITEM-0001,1
139.54,4892.67,Visa,Online,1.47,NL,ORD-000098,2024-08-23 11:09:00,MGR-020,Merchant_18,GATE-01,MERCH-018,COMP-04,Company_D,WL-02,Adyen,PROC-01,purchase,processing,21.21,credit,278.35,0.0,ITEM-0058,10
